"SUBSTANCE";"CODE_NACE_REV2_ET_MENAGES";"MASSE";"ANNEE";"LIBELLE_NACE_ET_MENAGES";"LIBELLE_SUBSTANCE"
"CO2";"J59_J60";204349;2020;"Activités cinématographique, vidéo, production de programmes de télévision, activités de programmation et de diffusion";"Dioxyde de carbone"
"CO2";"J61";225952;2020;"Télécommunications";"Dioxyde de carbone"
"CO2";"J62_J63";303626;2020;"Programmation, conseil en informatique et autres services d'information";"Dioxyde de carbone"
"CO2";"K64";467356;2020;"Activités des services financiers, hors assurance et caisses de retraite";"Dioxyde de carbone"
"CO2";"K65";89931;2020;"Assurance";"Dioxyde de carbone"
"CO2";"K66";113638;2020;"Activités auxiliaires de services financiers et d'assurance";"Dioxyde de carbone"
"CO2";"L";309993;2020;"Activités immobilières";"Dioxyde de carbone"
"CO2";"M69_M70";568426;2020;"Activités juridiques et comptables; activités des sièges sociaux; conseil de gestion";"Dioxyde de carbone"
"CO2";"M71";557121;2020;"Activités d'architecture et d'ingénierie; activités de contrôle et analyses techniques";"Dioxyde de carbone"
"CO2";"M72";403080;2020;"Recherche-développement scientifique";"Dioxyde de carbone"
"CO2";"M73";148857;2020;"Publicité et études de marché";"Dioxyde de carbone"
"CO2";"M74_M75";87971;2020;"Autres activités spécialisées, scientifiques et techniques, activités vétérinaires";"Dioxyde de carbone"
"CO2";"N77";3700286;2020;"Activités de location et location-bail";"Dioxyde de carbone"
"CO2";"N78";404285;2020;"Activités liées à l'emploi";"Dioxyde de carbone"
"CO2";"N79";30023;2020;"Activités des agences de voyage, voyagistes, services de réservation et activités connexes";"Dioxyde de carbone"
"CO2";"N80-N82";1155761;2020;"Enquêtes et sécurité, activités administratives, services et aménagement paysager";"Dioxyde de carbone"
"CO2";"O";3911313;2020;"Administration publique";"Dioxyde de carbone"
"CO2";"P";2761557;2020;"Enseignement";"Dioxyde de carbone"
"CO2";"Q86";2114083;2020;"Activités pour la santé humaine";"Dioxyde de carbone"
"CO2";"Q87_Q88";2422432;2020;"Hébergement médico-social et social et action sociale sans hébergement";"Dioxyde de carbone"
"CO2";"R90-R92";282014;2020;"Activités créatives, artistiques et de spectacle; bibliothèques, archives, musées et autres activités culturelles; organisation de jeux de hasard et d'argent";"Dioxyde de carbone"
