id,name,long_name,named_place,station_type,basin,lon,lat,alt,start_date,end_date,is_open,is_public,department_id,is_daily,is_hourly,is_minutely
34038001,LE BOUSQUET-D ORB,LE BOUSQUET-D'ORB (LE BOUSQUET-D ORB),CAZILHAC,4,Y250,3.162667,43.709667,278,1947-01-01,2016-08-01,true,true,34,true,false,false
34040001,BRENAS,BRENAS,BG,4,Y223,3.256833,43.6535,439,1960-06-01,2020-01-01,true,true,34,true,false,false
34042001,BRISSAC BOURG,BRISSAC (BRISSAC BOURG),BOURG,4,Y211,3.701667,43.876667,180,1924-01-01,1938-10-31,true,true,34,true,false,false
21271001,FLAVIGNY-SUR-OZERAIN,FLAVIGNY-SUR-OZERAIN,LES TANNIERES,4,F333,4.526667,47.511667,340,1970-08-01,1982-05-31,true,true,21,true,false,false
57557001,PUTTELANGE-LES-THIONVILLE,PUTTELANGE-LES-THIONVILLE,,2,A882,6.259,49.481667,190,1982-05-01,,true,true,57,true,true,true
57672003,THIONVILLE,YUTZ (THIONVILLE),,4,NR,6.2,49.366667,155,1943-03-15,1944-07-31,false,true,57,true,true,false
57740001,WALDWISSE,WALDWISSE,Rue de Launstroff ,2,A995,6.505833,49.417,291,1948-10-01,,true,true,57,true,true,true
59343001,LILLE-LESQUIN,FRETIN (LILLE-LESQUIN),AEROPORT DE LILLE-LESQUIN,0,E311,3.0975,50.57,47,1944-12-01,,true,true,59,true,true,true
34042002,BRISSAC AGGLOMERATION,BRISSAC (BRISSAC AGGLOMERATION),AGGLOMERATION,4,Y211,3.701667,43.876667,180,1870-01-01,1881-12-31,true,true,34,true,false,false
04160003,REILLANNE BOURG,REILLANNE (REILLANNE BOURG),BOURG,4,X342,5.66,43.878333,490,1885-01-01,1885-12-31,true,true,4,true,false,false
57587003,RODALBE,RODALBE,,1,A910,6.693167,48.909833,258,2005-03-15,,true,true,57,true,true,true
58006001,ANLEZY,ANLEZY,ECOLE PRIMAIRE,3,K177,3.507833,46.9575,220,1949-06-01,2013-07-01,false,true,58,true,true,true
22344001,TREBRIVAN-SPC,,,5,,-3.51,48.320833,179,,,true,true,22,true,true,false
58092001,CRUX LA VILLE,CRUX-LA-VILLE (CRUX LA VILLE),LES CHAUMES COTTETS,3,K171,3.515,47.132833,283,1982-02-01,2016-05-03,false,true,58,true,true,true
04161001,MEOLANS-REVEL,MEOLANS-REVEL,MEOLANS - SAINT-BARTHELEMY,4,X044,6.508333,44.398333,1209,1931-04-01,1939-08-31,true,true,4,true,false,false
04172001,ROUMOULES,ROUMOULES,LES-STES-MARIES,4,X270,6.150833,43.7935,665,1976-03-01,2009-12-31,true,true,4,true,false,false
34044001,CABREROLLES RMC,CABREROLLES (CABREROLLES RMC),RMC,4,Y257,3.123333,43.545,349,1969-01-01,1973-12-31,true,true,34,true,false,false
14762002,VIRE-FOYER DU PROGRES AGRICOLE,VIRE NORMANDIE (VIRE-FOYER DU PROGRES AGRICOLE),FOYER DU PROGRES AGRICOLE DU BOCAGE,4,I412,-0.885,48.843333,192,1896-01-01,1963-09-30,true,true,14,true,false,false
58102001,DONZY,DONZY,LA PETITE BROSSE,3,K409,3.08,47.401667,209,1996-04-01,2007-05-31,false,true,58,true,true,true
59392001,MAUBEUGE,MAUBEUGE,SUEZ,2,D019,3.9665,50.271667,142,1959-01-01,,true,true,59,true,true,true
58145002,LORMES_SAPC,LORMES (LORMES_SAPC),SOMMEE,2,F302,3.858333,47.267167,485,1983-09-01,,true,true,58,true,true,true
58149001,LUZY,LUZY,LES BRULES,2,K174,3.9625,46.807,300,1860-01-01,,true,true,58,true,true,true
58177001,MONTIGNY EN MORVAN_SAPC,MONTIGNY-EN-MORVAN (MONTIGNY EN MORVAN_SAPC),L'Huis André,2,F300,3.855667,47.161333,285,1958-01-01,,true,true,58,true,true,true
58199001,ONLAY,ONLAY,NIAULT,2,K173,3.910833,46.981333,375,1918-01-01,,true,true,58,true,true,true
58304005,VARZY_SAPC,VARZY (VARZY_SAPC),Le Stade,2,NR,3.386,47.368333,226,2015-07-02,,true,true,58,true,true,true
59129001,CAPPELLE-EN-PEV,CAPPELLE-EN-PEVELE (CAPPELLE-EN-PEV),WATTINES,4,E334,3.1785,50.494167,51,1936-01-01,2020-12-31,false,true,59,true,true,false
34044002,CABREROLLES,CABREROLLES,DOMAINE DE FABREGUES,4,Y257,3.123333,43.545,180,1978-05-01,1984-12-31,true,true,34,true,false,false
34044003,CABREROLLES COUDOUMIO,CABREROLLES (CABREROLLES COUDOUMIO),COUDOUMIO,4,Y257,3.123333,43.545,230,1969-01-01,1973-12-31,true,true,34,true,false,false
51456002,REMICOURT,REMICOURT,FERME-DEKETELE,2,H104,4.868333,48.955,170,1994-08-01,2001-12-31,false,true,51,true,true,false
59392002,MAUBEUGE-SPC,MAUBEUGE (MAUBEUGE-SPC),SPC-222-Maubeuge,5,D019,3.974833,50.275,130,1961-04-01,2012-07-01,false,true,59,true,true,false
60008001,AIRION,AIRION,LYC.AGRIC.,2,H206,2.417833,49.430333,71,1989-03-01,2011-02-01,false,true,60,true,true,true
60159001,COMPIEGNE AVENUE DES ALLEES,COMPIEGNE (COMPIEGNE AVENUE DES ALLEES),AVENUE DES ALLEES,4,H200,2.825,49.411667,43,1920-01-01,1956-04-30,false,true,60,true,true,false
60175001,CREIL,APREMONT (CREIL),BASE AERIENNE,0,H204,2.520833,49.252167,88,1950-01-01,2021-07-31,false,true,60,true,true,true
34046002,SALVERGUES,CAMBON-ET-SALVERGUES (SALVERGUES),SALVERGUETTES,4,O400,2.9,43.633333,1030,1986-01-01,1989-12-31,true,true,34,true,false,false
60107001,BREUIL-LE-VERT,BREUIL-LE-VERT,Parc des sports,2,H207,2.432833,49.3645,57,1948-08-01,,true,true,60,true,true,true
34048001,CAMPAGNE RMC,CAMPAGNE (CAMPAGNE RMC),RMC,4,Y345,4.028333,43.788333,67,1963-09-01,1975-12-31,true,true,34,true,false,false
60445001,NAMPCEL,NAMPCEL,LE PETIT CESSIER,2,H023,3.087667,49.495,152,1970-11-01,,true,true,60,true,true,true
60537001,RIBECOURT,RIBECOURT-DRESLINCOURT (RIBECOURT),COLL. HORTICOLE,2,H032,2.919,49.508833,43,1970-11-01,2015-09-01,false,true,60,true,true,true
