code_insee,commune,departement,feu_foret_present,statut,specifique
04199,Saint-Vincent-sur-Jabron,04,,erreur,Remote end closed connection without response
04201,Saumane,04,,erreur,Remote end closed connection without response
04203,Selonnet,04,,erreur,Remote end closed connection without response
04202,Sausses,04,,erreur,Remote end closed connection without response
04123,Mison,04,,erreur,HTTP Error 404: 
04151,Pierrerue,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04134,La Motte-du-Caire,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04121,Mézel,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04204,Senez,04,,erreur,Remote end closed connection without response
04205,Seyne,04,,erreur,Remote end closed connection without response
04207,Sigoyer,04,,erreur,Remote end closed connection without response
04210,Soleilhas,04,,erreur,Remote end closed connection without response
04208,Simiane-la-Rotonde,04,,erreur,Remote end closed connection without response
04209,Sisteron,04,,erreur,Remote end closed connection without response
04206,Sigonce,04,,erreur,Remote end closed connection without response
04211,Sourribes,04,,erreur,Remote end closed connection without response
04216,Thèze,04,,erreur,Remote end closed connection without response
04214,Tartonne,04,,erreur,Remote end closed connection without response
04155,Prads-Haute-Bléone,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04224,Ubraye,04,,erreur,Remote end closed connection without response
04226,Uvernet-Fours,04,,erreur,Remote end closed connection without response
04162,Revest-des-Brousses,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04219,Thorame-Haute,04,,erreur,Remote end closed connection without response
04220,Les Thuiles,04,,erreur,Remote end closed connection without response
04217,Thoard,04,,erreur,Remote end closed connection without response
04227,Vachères,04,,erreur,Remote end closed connection without response
04228,Valavoire,04,,erreur,Remote end closed connection without response
04229,Valbelle,04,,erreur,Remote end closed connection without response
04230,Valensole,04,,erreur,Remote end closed connection without response
04234,Venterol,04,,erreur,Remote end closed connection without response
04235,Verdaches,04,,erreur,Remote end closed connection without response
04231,Valernes,04,,erreur,Remote end closed connection without response
04236,Vergons,04,,erreur,Remote end closed connection without response
04237,Le Vernet,04,,erreur,Remote end closed connection without response
04244,Volonne,04,,erreur,Remote end closed connection without response
04242,Villeneuve,04,,erreur,Remote end closed connection without response
04241,Villemus,04,,erreur,Remote end closed connection without response
04240,Villars-Colmars,04,,erreur,Remote end closed connection without response
05001,Abriès-Ristolas,05,,erreur,Remote end closed connection without response
04245,Volx,04,,erreur,Remote end closed connection without response
05006,L'Argentière-la-Bessée,05,,erreur,Remote end closed connection without response
05003,Aiguilles,05,,erreur,Remote end closed connection without response
05008,Aspremont,05,,erreur,Remote end closed connection without response
05009,Aspres-lès-Corps,05,,erreur,Remote end closed connection without response
05011,Avançon,05,,erreur,Remote end closed connection without response
05012,Baratier,05,,erreur,Remote end closed connection without response
05013,Barcillonnette,05,,erreur,Remote end closed connection without response
05014,Barret-sur-Méouge,05,,erreur,Remote end closed connection without response
05017,La Bâtie-Neuve,05,,erreur,Remote end closed connection without response
05016,La Bâtie-Montsaléon,05,,erreur,Remote end closed connection without response
05018,La Bâtie-Vieille,05,,erreur,Remote end closed connection without response
05019,La Beaume,05,,erreur,Remote end closed connection without response
05022,Bréziers,05,,erreur,Remote end closed connection without response
05021,Le Bersac,05,,erreur,Remote end closed connection without response
05025,Buissard,05,,erreur,Remote end closed connection without response
05023,Briançon,05,,erreur,Remote end closed connection without response
05026,Ceillac,05,,erreur,Remote end closed connection without response
05027,Cervières,05,,erreur,Remote end closed connection without response
05028,Chabestan,05,,erreur,Remote end closed connection without response
05029,Chabottes,05,,erreur,Remote end closed connection without response
05032,Champoléon,05,,erreur,Remote end closed connection without response
05031,Champcella,05,,erreur,Remote end closed connection without response
05035,Châteauneuf-d'Oze,05,,erreur,Remote end closed connection without response
05036,Châteauroux-les-Alpes,05,,erreur,Remote end closed connection without response
05037,Châteauvieux,05,,erreur,Remote end closed connection without response
04179,Saint-Geniez,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05038,Château-Ville-Vieille,05,,erreur,Remote end closed connection without response
05004,Ancelle,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04233,Vaumeilh,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05010,Aspres-sur-Buëch,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05045,Crots,05,,erreur,Remote end closed connection without response
05044,Crévoux,05,,erreur,Remote end closed connection without response
05046,Embrun,05,,erreur,Remote end closed connection without response
04222,Turriers,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04218,Thorame-Basse,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05048,L'Épine,05,,erreur,Remote end closed connection without response
05047,Éourres,05,,erreur,Remote end closed connection without response
05049,Esparron,05,,erreur,Remote end closed connection without response
05050,Espinasses,05,,erreur,Remote end closed connection without response
05051,Étoile-Saint-Cyrice,05,,erreur,Remote end closed connection without response
05052,Eygliers,05,,erreur,Remote end closed connection without response
05053,Garde-Colombe,05,,erreur,Remote end closed connection without response
05054,La Fare-en-Champsaur,05,,erreur,Remote end closed connection without response
05055,La Faurie,05,,erreur,Remote end closed connection without response
05056,Forest-Saint-Julien,05,,erreur,Remote end closed connection without response
05058,Freissinières,05,,erreur,Remote end closed connection without response
05057,Fouillouse,05,,erreur,Remote end closed connection without response
05060,Furmeyer,05,,erreur,Remote end closed connection without response
05007,Arvieux,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05061,Gap,05,,erreur,Remote end closed connection without response
05062,Le Glaizil,05,,erreur,Remote end closed connection without response
05064,La Chapelle-en-Valgaudémar,05,,erreur,Remote end closed connection without response
05066,La Haute-Beaume,05,,erreur,Remote end closed connection without response
05065,Guillestre,05,,erreur,Remote end closed connection without response
05068,Jarjayes,05,,erreur,Remote end closed connection without response
05072,Laye,05,,erreur,Remote end closed connection without response
05071,Lardier-et-Valença,05,,erreur,Remote end closed connection without response
05070,Laragne-Montéglin,05,,erreur,Remote end closed connection without response
05073,Lazer,05,,erreur,Remote end closed connection without response
05033,Chanousse,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05076,Méreuil,05,,erreur,Remote end closed connection without response
05075,Manteyer,05,,erreur,Remote end closed connection without response
05074,Lettret,05,,erreur,Remote end closed connection without response
05039,Aubessagne,05,True,Risque Existant,
05040,Chorges,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05024,Valdoule,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05059,La Freissinouse,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05079,Le Monêtier-les-Bains,05,True,Risque Existant,
05080,Montbrand,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05081,Montclus,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05077,Molines-en-Queyras,05,True,Risque Existant,
05084,Montgardin,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05063,La Grave,05,True,Risque Existant,
05078,Monêtier-Allemont,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05082,Mont-Dauphin,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05085,Montgenèvre,05,True,Risque Existant,
05086,Montjay,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05090,La Motte-en-Champsaur,05,True,Risque Existant,
05089,Montrond,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05087,Montmaur,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05094,Nossage-et-Bénévent,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05095,Le Noyer,05,True,Risque Existant,
05092,Neffes,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05096,Orcières,05,True,Risque Existant,
05097,Orpierre,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05093,Névache,05,True,Risque Existant,
05100,Pelleautier,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05098,Les Orres,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05091,Moydans,05,,erreur,HTTP Error 404: 
05103,Le Poët,05,,erreur,HTTP Error 404: 
05102,La Piarre,05,,erreur,HTTP Error 404: 
05104,Poligny,05,True,Risque Existant,
05101,Vallouise-Pelvoux,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05099,Oze,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05106,Prunières,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05109,Puy-Saint-Pierre,05,True,Risque Existant,
05108,Puy-Saint-Eusèbe,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05110,Puy-Saint-Vincent,05,True,Risque Existant,
05111,Puy-Sanières,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05107,Puy-Saint-André,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05112,Rabou,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05113,Rambaud,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05115,Remollon,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05114,Réallon,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05117,Ribeyret,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05118,Val Buëch-Méouge,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05119,Risoul,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05126,Rosans,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05123,La Roche-des-Arnauds,05,,erreur,HTTP Error 404: 
05116,Réotier,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05124,La Rochette,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05122,La Roche-de-Rame,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05121,Rochebrune,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05127,Rousset-Serre-Ponçon,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05128,Saint-André-d'Embrun,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
